"rules","support","confidence","lift","count"
"{17023055} => {17023008}",3.29180012588642e-05,0.942857142857143,10990.7651162791,33
"{17023004,17023055} => {17023008}",1.39652126552757e-05,0.933333333333333,10879.7472868217,14
"{9057006,17023055} => {17023008}",1.19701822759506e-05,0.923076923076923,10760.1896243292,12
"{1081090,17023055} => {17023008}",1.09726670862881e-05,0.916666666666667,10685.4660852713,11
"{1081090,9057006,17023055} => {17023008}",1.09726670862881e-05,0.916666666666667,10685.4660852713,11
"{1081006,1081090,5003005,5005003} => {5005001}",1.29676974656132e-05,0.928571428571429,8540.2247706422,13
"{1081006,5003005,5005003,9057006} => {5005001}",1.19701822759506e-05,0.923076923076923,8489.6908962597,12
"{1081006,1081090,5003005,5005003,9057006} => {5005001}",1.19701822759506e-05,0.923076923076923,8489.6908962597,12
"{5003005,5005003,5062001} => {5005001}",1.09726670862881e-05,0.916666666666667,8430.73470948012,11
"{1081006,5003005,5005003} => {5005001}",2.49378797415638e-05,0.892857142857143,8211.75458715596,25
"{5003005,5062001} => {5005001}",1.19701822759506e-05,0.857142857142857,7883.28440366973,12
"{5005003,5062001} => {5005001}",1.29676974656132e-05,0.8125,7472.69667431193,13
"{1081006,1081090,5003005} => {5005001}",1.49627278449383e-05,0.789473684210526,7260.91984548527,15
"{1081006,1081090,5003005,9057006} => {5005001}",1.39652126552757e-05,0.777777777777778,7153.3506625892,14
"{1081006,5005003} => {5005001}",3.29180012588642e-05,0.75,6897.87385321101,33
"{1081005,14086100} => {1081008}",1.29676974656132e-05,0.866666666666667,5991.90022988506,13
"{1081005,14070004,14086100} => {1081008}",1.29676974656132e-05,0.866666666666667,5991.90022988506,13
"{1081005,8015011,14086100} => {1081008}",1.29676974656132e-05,0.866666666666667,5991.90022988506,13
"{1081005,8015011,14070004,14086100} => {1081008}",1.29676974656132e-05,0.866666666666667,5991.90022988506,13
"{1081005,14070004} => {1081008}",1.59602430346008e-05,0.842105263157895,5822.08929219601,16
"{1081005,8015011,14070004} => {1081008}",1.49627278449383e-05,0.833333333333333,5761.44252873563,15
"{1081003,1081090,14029004,14029008} => {21170002}",1.29676974656132e-05,0.928571428571429,3134.29124579125,13
"{1081003,9057006,14029004,14029008} => {21170002}",1.29676974656132e-05,0.928571428571429,3134.29124579125,13
"{1081003,1081018,1081090,14029004,14029008} => {21170002}",1.29676974656132e-05,0.928571428571429,3134.29124579125,13
"{1081003,1081018,9057006,14029004,14029008} => {21170002}",1.29676974656132e-05,0.928571428571429,3134.29124579125,13
"{1081003,1081090,9057006,14029004,14029008} => {21170002}",1.29676974656132e-05,0.928571428571429,3134.29124579125,13
"{1081003,1081018,1081090,9057006,14029004,14029008} => {21170002}",1.29676974656132e-05,0.928571428571429,3134.29124579125,13
"{1081003,1081033,1081090,14029004} => {21170002}",1.19701822759506e-05,0.923076923076923,3115.74514374514,12
"{1081003,1081033,9057006,14029004} => {21170002}",1.19701822759506e-05,0.923076923076923,3115.74514374514,12
"{1081003,1081018,1081033,1081090,14029004} => {21170002}",1.19701822759506e-05,0.923076923076923,3115.74514374514,12
"{1081003,1081018,1081033,9057006,14029004} => {21170002}",1.19701822759506e-05,0.923076923076923,3115.74514374514,12
"{1081003,1081033,1081090,9057006,14029004} => {21170002}",1.19701822759506e-05,0.923076923076923,3115.74514374514,12
