LHS,,RHS,support,confidence,lift,count
{17023055} ,=>, {17023008},3.29E-05,0.942857143,10990.76512,33
"{17023004,17023055} ",=>, {17023008},1.40E-05,0.933333333,10879.74729,14
"{9057006,17023055} ",=>, {17023008},1.20E-05,0.923076923,10760.18962,12
"{1081090,17023055} ",=>, {17023008},1.10E-05,0.916666667,10685.46609,11
"{1081090,9057006,17023055} ",=>, {17023008},1.10E-05,0.916666667,10685.46609,11
"{1081006,1081090,5003005,5005003} ",=>, {5005001},1.30E-05,0.928571429,8540.224771,13
"{1081006,5003005,5005003,9057006} ",=>, {5005001},1.20E-05,0.923076923,8489.690896,12
"{1081006,1081090,5003005,5005003,9057006} ",=>, {5005001},1.20E-05,0.923076923,8489.690896,12
"{5003005,5005003,5062001} ",=>, {5005001},1.10E-05,0.916666667,8430.734709,11
"{1081006,5003005,5005003} ",=>, {5005001},2.49E-05,0.892857143,8211.754587,25
"{5003005,5062001} ",=>, {5005001},1.20E-05,0.857142857,7883.284404,12
"{5005003,5062001} ",=>, {5005001},1.30E-05,0.8125,7472.696674,13
"{1081006,1081090,5003005} ",=>, {5005001},1.50E-05,0.789473684,7260.919845,15
"{1081006,1081090,5003005,9057006} ",=>, {5005001},1.40E-05,0.777777778,7153.350663,14
"{1081006,5005003} ",=>, {5005001},3.29E-05,0.75,6897.873853,33
"{1081005,14086100} ",=>, {1081008},1.30E-05,0.866666667,5991.90023,13
"{1081005,14070004,14086100} ",=>, {1081008},1.30E-05,0.866666667,5991.90023,13
"{1081005,8015011,14086100} ",=>, {1081008},1.30E-05,0.866666667,5991.90023,13
"{1081005,8015011,14070004,14086100} ",=>, {1081008},1.30E-05,0.866666667,5991.90023,13
"{1081005,14070004} ",=>, {1081008},1.60E-05,0.842105263,5822.089292,16
"{1081005,8015011,14070004} ",=>, {1081008},1.50E-05,0.833333333,5761.442529,15
"{1081003,1081090,14029004,14029008} ",=>, {21170002},1.30E-05,0.928571429,3134.291246,13
"{1081003,9057006,14029004,14029008} ",=>, {21170002},1.30E-05,0.928571429,3134.291246,13
"{1081003,1081018,1081090,14029004,14029008} ",=>, {21170002},1.30E-05,0.928571429,3134.291246,13
"{1081003,1081018,9057006,14029004,14029008} ",=>, {21170002},1.30E-05,0.928571429,3134.291246,13
"{1081003,1081090,9057006,14029004,14029008} ",=>, {21170002},1.30E-05,0.928571429,3134.291246,13
"{1081003,1081018,1081090,9057006,14029004,14029008} ",=>, {21170002},1.30E-05,0.928571429,3134.291246,13
"{1081003,1081033,1081090,14029004} ",=>, {21170002},1.20E-05,0.923076923,3115.745144,12
"{1081003,1081033,9057006,14029004} ",=>, {21170002},1.20E-05,0.923076923,3115.745144,12
"{1081003,1081018,1081033,1081090,14029004} ",=>, {21170002},1.20E-05,0.923076923,3115.745144,12
"{1081003,1081018,1081033,9057006,14029004} ",=>, {21170002},1.20E-05,0.923076923,3115.745144,12
"{1081003,1081033,1081090,9057006,14029004} ",=>, {21170002},1.20E-05,0.923076923,3115.745144,12
"{1081003,1081018,1081033,1081090,9057006,14029004} ",=>, {21170002},1.20E-05,0.923076923,3115.745144,12
"{1081003,14029003,14029004,14029008} ",=>, {21170002},1.10E-05,0.916666667,3094.108025,11
"{1081003,1081018,14029003,14029008} ",=>, {21170002},1.10E-05,0.916666667,3094.108025,11
"{1081003,1081018,14029003,14029004,14029008} ",=>, {21170002},1.10E-05,0.916666667,3094.108025,11
"{1081003,14029003,14029008} ",=>, {21170002},1.10E-05,0.846153846,2856.099715,11
"{1081003,1081018,8036114,9057006} ",=>, {21170002},1.50E-05,0.833333333,2812.825477,15
"{1081003,14029004,14029008} ",=>, {21170002},1.40E-05,0.823529412,2779.733413,14
"{1081003,1081018,14029004,14029008} ",=>, {21170002},1.40E-05,0.823529412,2779.733413,14
"{1081003,1081018,1081090,8036114,9057006} ",=>, {21170002},1.40E-05,0.823529412,2779.733413,14
"{1081003,1081018,9057006,14029004} ",=>, {21170002},2.19E-05,0.814814815,2750.318244,22
"{1081003,1081018,1081090,14029004} ",=>, {21170002},2.09E-05,0.807692308,2726.277001,21
